chrom	start	end	A_compartment	B_compartment	NA_compartment	IS_lower_bound	IS_average	IS_higher_bound
chr1	0	10000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	10000	20000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	20000	30000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	30000	40000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	40000	50000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	50000	60000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	60000	70000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	70000	80000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	80000	90000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	90000	100000	0	0	0	0.03519089924834883	-0.026473475620150566	0.12130003422498703
chr1	100000	110000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	110000	120000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	120000	130000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	130000	140000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	140000	150000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	150000	160000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	160000	170000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	170000	180000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	180000	190000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	190000	200000	0	0	0	0.028605357390364534	-0.016266610939055678	0.08078301884233952
chr1	200000	210000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	210000	220000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	220000	230000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	230000	240000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	240000	250000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	250000	260000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	260000	270000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	270000	280000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	280000	290000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	290000	300000	71	38	855	0.04028822122186576	-0.026577139273285862	0.10177798569202423
chr1	300000	310000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
chr1	310000	320000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
chr1	320000	330000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
chr1	330000	340000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
chr1	340000	350000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
chr1	350000	360000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
chr1	360000	370000	24	18	922	-0.0013945474056527006	-0.08350777253508568	0.06263215746730566
